appid,positive,negative,owners,average_forever,price,genre,total_ratings,genres_Action,genres_Adventure,genres_Casual,genres_Indie,genres_Other,genres_RPG,catagories_fixed_Multi,catagories_fixed_Single,catagories_fixed_Single/Multi
653120,178,207,100000,136,0.0,Action Games,385,1,0,0,0,0,0,1,0,0
653530,11577,382,200000,320,1999.0,Adventure,11959,0,1,0,0,0,0,0,1,0
654050,523,81,20000,196,1499.0,Action Games,604,1,0,0,0,0,0,0,0,1
654690,247,135,0,899,1499.0,Action Games,382,1,0,0,0,0,0,0,1,0
654880,4039,413,500000,421,1499.0,Casual,4452,0,0,1,0,0,0,0,1,0
654900,601,57,20000,304,99.0,Casual,658,0,0,1,0,0,0,0,1,0
654990,709,547,500000,156,499.0,Action Games,1256,1,0,0,0,0,0,0,1,0
655020,28,13,0,30,0.0,Casual,41,0,0,1,0,0,0,0,0,1
655100,426,72,0,191,99.0,Casual,498,0,0,1,0,0,0,0,1,0
655460,22,44,50000,6,99.0,Action Games,66,1,0,0,0,0,0,0,1,0
655550,223,88,100000,8,0.0,Action Games,311,1,0,0,0,0,0,1,0,0
655700,4,49,0,4,699.0,Action Games,53,1,0,0,0,0,0,0,1,0
655740,136,16,0,9,999.0,Action Games,152,1,0,0,0,0,0,0,0,1
655780,281,122,20000,1274,999.0,Action,403,1,0,0,0,0,0,0,0,1
655790,330,189,20000,15,99.0,Action Games,519,1,0,0,0,0,0,0,0,1
656030,69,27,0,6,999.0,Adventure,96,0,1,0,0,0,0,0,1,0
656120,97,6,50000,93,0.0,Indie,103,0,0,0,1,0,0,0,1,0
656200,809,655,100000,433,899.0,Indie,1464,0,0,0,1,0,0,0,1,0
656240,1231,1161,100000,1261,499.0,Action,2392,1,0,0,0,0,0,0,0,1
656350,5499,342,100000,1067,1999.0,Action,5841,1,0,0,0,0,0,0,1,0
656570,44,9,0,2,399.0,Adventure,53,0,1,0,0,0,0,0,1,0
656600,304,109,100000,49,1099.0,Action Games,413,1,0,0,0,0,0,0,1,0
656680,19,84,50000,4,499.0,Casual,103,0,0,1,0,0,0,0,1,0
656700,262,105,0,21,1999.0,Action Games,367,1,0,0,0,0,0,0,0,1
656970,294,27,0,274,499.0,Action Games,321,1,0,0,0,0,0,0,1,0
657010,141,35,50000,9,0.0,Casual,176,0,0,1,0,0,0,1,0,0
657200,22801,4434,1000000,210,199.0,Simulation,27235,0,0,0,0,0,0,0,0,1
657240,767,46,20000,760,1999.0,Indie,813,0,0,0,1,0,0,0,1,0
657630,453,91,0,758,99.0,Casual,544,0,0,1,0,0,0,0,1,0
657730,118,12,50000,231,599.0,Indie,130,0,0,0,1,0,0,1,0,0
658140,31,4,0,182,3499.0,Casual,35,0,0,1,0,0,0,0,1,0
658260,603,119,20000,196,5999.0,RPG,722,0,0,0,0,0,1,0,1,0
658320,200,90,50000,11,0.0,Free to Play,290,0,0,0,0,0,0,0,0,0
658420,5,6,100000,28,0.0,Adventure,11,0,1,0,0,0,0,0,0,1
658470,366,203,100000,62,0.0,Action Games,569,1,0,0,0,0,0,1,0,0
658550,621,42,100000,203,99.0,Casual,663,0,0,1,0,0,0,0,1,0
658560,1527,72,50000,189,99.0,Casual,1599,0,0,1,0,0,0,0,1,0
658570,959,197,200000,3196,1799.0,Racing,1156,0,0,0,0,0,0,0,0,1
658600,236,59,0,33,199.0,Indie,295,0,0,0,1,0,0,0,1,0
658630,162,126,0,48,0.0,Action Games,288,1,0,0,0,0,0,0,1,0
658700,265,144,0,999,4999.0,Racing,409,0,0,0,0,0,0,0,0,1
658850,4419,337,200000,267,1199.0,Indie,4756,0,0,0,1,0,0,0,1,0
658980,445,398,20000,721,1999.0,Action Games,843,1,0,0,0,0,0,1,0,0
658990,61,3,0,20,699.0,Action Games,64,1,0,0,0,0,0,0,1,0
659190,512,133,20000,225,249.0,Adventure,645,0,1,0,0,0,0,0,1,0
659460,6,12,20000,291,399.0,Action Games,18,1,0,0,0,0,0,1,0,0
659540,496,13,20000,62,799.0,Indie,509,0,0,0,1,0,0,0,1,0
660160,477,54,20000,1463,2999.0,Simulation,531,0,0,0,0,0,0,0,0,1
660290,29,17,0,297,299.0,Action Games,46,1,0,0,0,0,0,0,1,0
661000,203,61,50000,3,99.0,Casual,264,0,0,1,0,0,0,0,1,0
661120,37,7,0,184,899.0,Adventure,44,0,1,0,0,0,0,0,1,0
661260,7,4,0,22,0.0,Action Games,11,1,0,0,0,0,0,0,1,0
661300,8,7,20000,3,99.0,Action Games,15,1,0,0,0,0,0,0,1,0
661430,307,21,0,33,99.0,Casual,328,0,0,1,0,0,0,0,1,0
661670,6,5,0,43,499.0,Adventure,11,0,1,0,0,0,0,0,1,0
661790,1380,181,20000,432,999.0,Action Games,1561,1,0,0,0,0,0,0,1,0
661920,156,62,0,7,999.0,Action Games,218,1,0,0,0,0,0,0,0,1
661940,230,47,50000,252,499.0,Indie,277,0,0,0,1,0,0,1,0,0
662240,85,26,0,177,1999.0,Action,111,1,0,0,0,0,0,0,1,0
662320,824,725,200000,61,0.0,Violent,1549,0,0,0,0,1,0,0,1,0
662470,17,6,20000,2,0.0,Casual,23,0,0,1,0,0,0,0,1,0
662700,37,15,20000,4,0.0,Casual,52,0,0,1,0,0,0,0,1,0
662830,743,343,100000,114,0.0,Action Games,1086,1,0,0,0,0,0,0,0,1
662960,1788,773,100000,56,1299.0,Action,2561,1,0,0,0,0,0,0,1,0
663090,444,326,100000,1483,0.0,Free to Play,770,0,0,0,0,0,0,1,0,0
663240,199,48,20000,1,199.0,Adventure,247,0,1,0,0,0,0,0,1,0
663300,302,144,20000,186,1199.0,Action Games,446,1,0,0,0,0,0,0,1,0
663380,1261,496,200000,108,1599.0,Adventure,1757,0,1,0,0,0,0,0,1,0
663390,1110,1041,200000,377,499.0,Casual,2151,0,0,1,0,0,0,0,0,1
663670,413,34,20000,306,999.0,Action,447,1,0,0,0,0,0,1,0,0
663690,29,7,0,119,0.0,Action Games,36,1,0,0,0,0,0,1,0,0
663920,16,14,0,27,99.0,Casual,30,0,0,1,0,0,0,0,1,0
664000,146,24,0,89,1499.0,Action Games,170,1,0,0,0,0,0,0,1,0
664090,247,50,20000,15,1499.0,Action Games,297,1,0,0,0,0,0,0,0,1
664180,709,14,20000,318,499.0,Casual,723,0,0,1,0,0,0,0,1,0
664320,51,48,20000,129,799.0,Casual,99,0,0,1,0,0,0,0,1,0
664430,1072,1020,200000,392,5999.0,Simulation,2092,0,0,0,0,0,0,0,0,1
664830,1106,146,0,150,1499.0,Action Games,1252,1,0,0,0,0,0,0,1,0
665090,1473,437,20000,13,999.0,Action Games,1910,1,0,0,0,0,0,0,1,0
665180,3637,446,50000,223,399.0,Adventure,4083,0,1,0,0,0,0,0,1,0
665300,505,18,50000,7510,1499.0,Animation & Modeling,523,0,0,0,0,1,0,0,0,0
665360,5525,1712,100000,136,499.0,Casual,7237,0,0,1,0,0,0,1,0,0
665370,594,22,20000,167,999.0,Casual,616,0,0,1,0,0,0,0,1,0
665490,1096,156,50000,4,0.0,Free to Play,1252,0,0,0,0,0,0,0,1,0
665590,28,8,0,181,499.0,Casual,36,0,0,1,0,0,0,0,0,1
665740,77,27,20000,1,0.0,Free to Play,104,0,0,0,0,0,0,0,0,1
666140,27470,2086,500000,1293,1019.0,Adventure,29556,0,1,0,0,0,0,0,1,0
666220,6474,749,1000000,82,0.0,Action Games,7223,1,0,0,0,0,0,0,0,1
666260,16,13,0,66,199.0,Adventure,29,0,1,0,0,0,0,0,1,0
666570,435,104,50000,289,1299.0,Indie,539,0,0,0,1,0,0,0,1,0
666860,1506,392,200000,2013,0.0,Adventure,1898,0,1,0,0,0,0,0,0,1
666940,112,37,0,95,99.0,Action,149,1,0,0,0,0,0,0,1,0
667120,20,28,20000,1,0.0,Adventure,48,0,1,0,0,0,0,0,1,0
667160,17,5,0,1,0.0,Casual,22,0,0,1,0,0,0,0,0,1
667420,39,30,0,30,199.0,Gore,69,0,0,0,0,1,0,0,1,0
667530,5124,581,200000,163,0.0,Action,5705,1,0,0,0,0,0,1,0,0
667600,1203,87,50000,1941,999.0,Action Games,1290,1,0,0,0,0,0,0,0,1
667870,2365,404,200000,548,0.0,Free to Play,2769,0,0,0,0,0,0,1,0,0
667890,2753,990,500000,164,0.0,Action Games,3743,1,0,0,0,0,0,1,0,0
667970,2629,77,20000,309,2999.0,Action Games,2706,1,0,0,0,0,0,0,1,0
668170,208,208,50000,44,0.0,Action,416,1,0,0,0,0,0,0,0,1
668210,731,71,20000,115,999.0,Action Games,802,1,0,0,0,0,0,0,1,0
668590,220,25,0,41,999.0,Adventure,245,0,1,0,0,0,0,0,1,0
668630,17791,1704,500000,669,199.0,Adventure,19495,0,1,0,0,0,0,0,1,0
669050,216,27,20000,194,999.0,Indie,243,0,0,0,1,0,0,0,1,0
669320,297,127,0,9,1099.0,Casual,424,0,0,1,0,0,0,0,1,0
669580,403,118,200000,21,0.0,Action Games,521,1,0,0,0,0,0,1,0,0
669950,694,77,20000,56,1999.0,Action Games,771,1,0,0,0,0,0,0,1,0
670160,730,39,20000,840,399.0,Action Games,769,1,0,0,0,0,0,0,1,0
670260,219,33,0,116,1499.0,Adventure,252,0,1,0,0,0,0,0,0,1
670290,3155,837,200000,142,0.0,Casual,3992,0,0,1,0,0,0,0,0,1
670350,508,139,50000,70,999.0,Adventure,647,0,1,0,0,0,0,0,1,0
670490,29,99,0,124,999.0,Indie,128,0,0,0,1,0,0,0,1,0
670500,75,60,50000,11,0.0,Racing,135,0,0,0,0,0,0,0,0,1
670750,174,27,0,17,499.0,Adventure,201,0,1,0,0,0,0,0,1,0
670930,100,19,20000,297,99.0,Action,119,1,0,0,0,0,0,0,1,0
671170,101,19,0,333,999.0,Casual,120,0,0,1,0,0,0,0,1,0
671240,63,25,0,48,399.0,Adventure,88,0,1,0,0,0,0,0,1,0
671310,21,12,50000,1,0.0,Casual,33,0,0,1,0,0,0,1,0,0
671390,291,70,0,72,799.0,Casual,361,0,0,1,0,0,0,0,1,0
671440,2420,689,100000,177,2999.0,Indie,3109,0,0,0,1,0,0,0,1,0
671510,3886,1625,100000,385,2499.0,Action,5511,1,0,0,0,0,0,0,0,1
671620,612,100,50000,527,999.0,Action Games,712,1,0,0,0,0,0,0,1,0
671700,269,14,0,18,0.0,Action Games,283,1,0,0,0,0,0,0,1,0
671800,617,138,20000,146,399.0,Adventure,755,0,1,0,0,0,0,0,1,0
672460,59,33,0,30,1499.0,Action Games,92,1,0,0,0,0,0,0,0,1
672630,1112,231,100000,139,1999.0,Indie,1343,0,0,0,1,0,0,0,1,0
672640,524,110,100000,8,0.0,Action Games,634,1,0,0,0,0,0,0,1,0
672680,1600,991,200000,57,0.0,Free to Play,2591,0,0,0,0,0,0,1,0,0
672860,66,53,20000,393,899.0,Simulation,119,0,0,0,0,0,0,0,1,0
673000,805,125,20000,84,999.0,Action Games,930,1,0,0,0,0,0,0,1,0
673070,268,70,200000,34,0.0,Violent,338,0,0,0,0,1,0,0,1,0
673130,3132,108,200000,114,1999.0,Action Games,3240,1,0,0,0,0,0,0,1,0
673190,112,38,0,24,1999.0,Action,150,1,0,0,0,0,0,0,0,1
673260,342,78,50000,35,999.0,Action Games,420,1,0,0,0,0,0,1,0,0
673560,544,187,100000,36,0.0,Free to Play,731,0,0,0,0,0,0,1,0,0
673600,143,16,0,554,1999.0,Indie,159,0,0,0,1,0,0,0,1,0
673610,3529,670,200000,739,1999.0,Indie,4199,0,0,0,1,0,0,0,1,0
673620,41,11,50000,11,0.0,Free to Play,52,0,0,0,0,0,0,0,1,0
673660,63,42,0,71,399.0,Action,105,1,0,0,0,0,0,0,1,0
673750,1342,196,100000,366,1599.0,Action Games,1538,1,0,0,0,0,0,0,0,1
673800,668,103,50000,228,99.0,Casual,771,0,0,1,0,0,0,0,1,0
673880,6622,595,100000,855,2999.0,Strategy,7217,0,0,0,0,0,0,0,1,0
673900,21,13,20000,9,0.0,Casual,34,0,0,1,0,0,0,0,1,0
673950,11550,758,500000,2889,1999.0,Casual,12308,0,0,1,0,0,0,0,0,1
674020,11508,7064,500000,954,0.0,Action,18572,1,0,0,0,0,0,1,0,0
674400,892,561,200000,11,0.0,Action Games,1453,1,0,0,0,0,0,0,1,0
674500,2332,684,200000,174,1999.0,Action,3016,1,0,0,0,0,0,0,1,0
674520,1629,140,100000,154,1999.0,Action Games,1769,1,0,0,0,0,0,0,0,1
674750,1175,253,200000,145,399.0,Action Games,1428,1,0,0,0,0,0,0,0,1
674940,61822,4626,2000000,394,499.0,Action Games,66448,1,0,0,0,0,0,1,0,0
675010,16810,2191,500000,1081,2499.0,Simulation,19001,0,0,0,0,0,0,0,0,1
675030,37,5,0,31,199.0,Action Games,42,1,0,0,0,0,0,0,1,0
675230,50,23,0,574,0.0,Adventure,73,0,1,0,0,0,0,1,0,0
675260,4162,483,100000,597,1499.0,Adventure,4645,0,1,0,0,0,0,0,1,0
675630,252,183,50000,12,0.0,Casual,435,0,0,1,0,0,0,0,1,0
675810,71,25,20000,18,0.0,Free to Play,96,0,0,0,0,0,0,0,0,1
675940,129,43,0,1,99.0,Action Games,172,1,0,0,0,0,0,0,1,0
676090,304,90,0,214,599.0,Adventure,394,0,1,0,0,0,0,0,1,0
676420,296,16,20000,28,399.0,Casual,312,0,0,1,0,0,0,0,1,0
676430,429,57,20000,51,99.0,Casual,486,0,0,1,0,0,0,0,1,0
676470,26,5,0,1,0.0,Adventure,31,0,1,0,0,0,0,0,0,1
676490,13,38,20000,1,0.0,Free to Play,51,0,0,0,0,0,0,0,0,1
676500,373,45,0,136088,1999.0,Action,418,1,0,0,0,0,0,0,0,1
676700,30,6,0,6,699.0,Action Games,36,1,0,0,0,0,0,0,0,1
676770,407,83,50000,7,0.0,Adventure,490,0,1,0,0,0,0,0,1,0
676820,1386,78,50000,33,599.0,Adventure,1464,0,1,0,0,0,0,0,1,0
676840,353,170,20000,50,1999.0,Action Games,523,1,0,0,0,0,0,0,1,0
677120,4647,589,500000,2296,1199.0,Action Games,5236,1,0,0,0,0,0,0,0,1
677160,3045,756,200000,208,999.0,Adventure,3801,0,1,0,0,0,0,1,0,0
677180,117,137,0,4357,1999.0,Action,254,1,0,0,0,0,0,1,0,0
677210,12,9,0,5,299.0,Action,21,1,0,0,0,0,0,0,0,1
677290,5,2,20000,1,0.0,Animation & Modeling,7,0,0,0,0,1,0,0,0,0
677340,602,106,20000,139,2499.0,Indie,708,0,0,0,1,0,0,0,1,0
677480,387,311,20000,1,1999.0,Action,698,1,0,0,0,0,0,0,0,1
677620,9592,1927,2000000,175,0.0,Action,11519,1,0,0,0,0,0,0,0,1
678190,75,85,0,39,199.0,Adventure,160,0,1,0,0,0,0,0,1,0
678230,19,12,0,15,499.0,Action Games,31,1,0,0,0,0,0,0,0,1
678520,334,44,0,54,2999.0,Action Games,378,1,0,0,0,0,0,0,1,0
678800,3931,748,500000,414,0.0,Action Games,4679,1,0,0,0,0,0,0,0,1
678900,1798,472,20000,323,2999.0,RPG,2270,0,0,0,0,0,1,0,1,0
678920,14,0,20000,258,199.0,Adventure,14,0,1,0,0,0,0,0,1,0
678950,30756,3750,1000000,3509,5999.0,Action Games,34506,1,0,0,0,0,0,0,0,1
678960,23859,2984,500000,1502,2399.0,Action,26843,1,0,0,0,0,0,0,0,1
679400,140,22,0,97,0.0,Free to Play,162,0,0,0,0,0,0,0,0,1
679490,268,44,0,86,799.0,Adventure,312,0,1,0,0,0,0,0,1,0
679750,267,23,0,195,1999.0,Simulation,290,0,0,0,0,0,0,0,1,0
679900,2143,175,200000,770,1499.0,Action Games,2318,1,0,0,0,0,0,0,1,0
680310,109,116,50000,69,0.0,Casual,225,0,0,1,0,0,0,0,1,0
680320,1165,174,100000,212,399.0,Adventure,1339,0,1,0,0,0,0,0,1,0
680360,3241,441,100000,176,1199.0,Action Games,3682,1,0,0,0,0,0,0,1,0
680380,232,92,0,701,1999.0,Indie,324,0,0,0,1,0,0,0,1,0
680480,270,44,0,217,1299.0,RPG,314,0,0,0,0,0,1,0,1,0
680620,45,7,0,28,49.0,Action Games,52,1,0,0,0,0,0,0,0,1
680690,48,33,0,45013,99.0,Action Games,81,1,0,0,0,0,0,0,1,0
680780,14,10,1000000,93,999.0,Action Games,24,1,0,0,0,0,0,0,1,0
680930,19,7,0,3,230.0,Casual,26,0,0,1,0,0,0,0,1,0
680980,557,166,50000,70,299.0,Adventure,723,0,1,0,0,0,0,0,1,0
681280,4879,325,200000,459,2499.0,Action Games,5204,1,0,0,0,0,0,0,0,1
681390,599,91,20000,234,999.0,Action,690,1,0,0,0,0,0,0,0,1
681660,3871,6326,200000,444,0.0,Action Games,10197,1,0,0,0,0,0,0,0,1
682140,191,52,0,1262,1799.0,Action Games,243,1,0,0,0,0,0,0,1,0
682480,257,51,0,367,399.0,Adventure,308,0,1,0,0,0,0,0,1,0
682530,463,134,20000,264,2199.0,Indie,597,0,0,0,1,0,0,0,1,0
682960,11,4,0,9,0.0,Indie,15,0,0,0,1,0,0,0,1,0
682970,43,107,50000,1,0.0,Action Games,150,1,0,0,0,0,0,1,0,0
682990,6721,1042,200000,591,1999.0,Action,7763,1,0,0,0,0,0,0,1,0
683320,36754,1265,500000,206,1699.0,Adventure,38019,0,1,0,0,0,0,0,1,0
683530,22,30,0,1,199.0,Action Games,52,1,0,0,0,0,0,0,1,0
683730,10,9,0,1,0.0,Action Games,19,1,0,0,0,0,0,0,1,0
683830,90,28,50000,254,199.0,Action Games,118,1,0,0,0,0,0,0,1,0
683900,845,128,20000,235,1999.0,Simulation,973,0,0,0,0,0,0,0,1,0
683940,226,35,0,127,799.0,Indie,261,0,0,0,1,0,0,0,1,0
684050,120,32,50000,3,99.0,Casual,152,0,0,1,0,0,0,0,1,0
684200,418,597,50000,154,499.0,Action,1015,1,0,0,0,0,0,0,0,1
684210,118,28,20000,114,0.0,Adventure,146,0,1,0,0,0,0,0,1,0
684270,185,17,0,1010,1499.0,Indie,202,0,0,0,1,0,0,0,1,0
684300,142,86,20000,200,699.0,Action Games,228,1,0,0,0,0,0,1,0,0
684380,81,22,20000,7,0.0,Utilities,103,0,0,0,0,1,0,0,0,0
684410,2865,264,200000,225,999.0,Simulation,3129,0,0,0,0,0,0,0,1,0
684580,1091,746,100000,363,999.0,Adventure,1837,0,1,0,0,0,0,0,0,1
